Range,Count,MAE,RMSE,MAPE
< $180K,38,140948.20314135487,231951.88347968765,198.747243944659
$180K - $450K,2579,54284.16146940166,74652.43824769331,15.373896706168571
$450K - $610K,2644,68429.93675708162,90143.58416006994,12.959705004604496
$610K - $831K,2696,95440.69757299343,123256.8011074846,13.414627031623125
$831K - $2.09M,2541,195945.90553249142,263348.8884912362,16.41431783870152
> $2.09M,136,941436.7769631251,1090278.464056656,35.52722526440883
