Model,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
StackingModels,97509.33714006325,63323.216118465796,8.759135273334323,0.9356168310488583,197965.36102456885,113741.3678029451,15.438541813864601,0.7355701898204787
XGBoost,112478.73911099821,66561.703125,8.889508074707187,0.9143315553665161,205886.47807954752,115669.921875,15.569281764522907,0.713985800743103
LightGBM,103794.25402108605,65381.05673399128,8.924869737652521,0.9270497869657384,208520.94202900789,117568.64850894407,15.825614201232193,0.7066194237705958
ElasticNet,216882.04520650278,128352.44943964935,18.07756645806223,0.6814870161194486,223112.56868649117,130933.15367275,17.931829634478262,0.6641231486892828
Lasso,223910.75674712373,132922.5655842349,18.75055956814416,0.660507756627733,229490.25655247466,135144.86191234877,18.51831887001935,0.6446465766449501
AveragingModels,165124.04219568375,88593.09009374658,11.452002371112007,0.8153707252936601,236086.7543567348,129511.23662186705,17.198167641390068,0.6239243246503787
GradientBoosting,275725.78257584333,149801.85661855503,20.353596978387838,0.4852045536452916,309408.16549212905,177886.38941134833,24.20612296541443,0.35405499774029225
