Model,RMSE,MAE,R2,MAPE
Multimodal Network,168063.3968001361,98695.3359375,0.809419572353363,13.693306559776802
Simple MLP,176600.3201809102,102295.9921875,0.7895664572715759,13.879426969122083
XGBoost,220162.00929315665,131193.484375,0.6729480624198914,19.046419692212357
LightGBM,211867.2298061705,126116.08514572185,0.6971276850274233,18.236312836575326
Ensemble (Avg),173659.60851233004,100949.53338089235,0.7965162952794727,14.167032728720683
Ensemble (Weighted),172329.90335554624,100094.59056692617,0.7996204995194186,14.00918038757632
